anno,comune,alberghieri strutture,alberghieri posti_letto,extra alb. Strutture,extra alb. Posti_letto,tot convenzionali strutture,tot convenzionali posti_letto,all. privati numero,all. privati posti_letto,all.disposizione numero,all. disposizione posti_letto,COMPLESSIVO numero,COMPLESSIVO posti_letto
2019,Ala,5,146,14,694,19,840,75,340,100,440,194,162
2019,Albiano,0,0,0,0,0,0,13,50,12,44,25,94
2019,Aldeno,0,0,1,5,1,5,0,0,3,10,4,15
2019,Altavalle,0,0,7,96,7,96,25,103,153,597,185,796
2019,Altopiano della Vigolana,10,398,9,127,19,525,219,804,373,1441,611,277
2019,Amblar0Don,2,86,4,52,6,138,48,210,147,672,201,102
2019,Andalo,61,4627,12,557,73,5184,458,1761,375,1829,906,8774
2019,Arco,21,1373,109,5779,130,7152,254,1006,228,793,612,8951
2019,Avio,1,25,7,181,8,206,1,4,10,40,19,250
2019,Baselga di Pinè,16,747,12,600,28,1347,557,2242,813,3613,1398,7202
2019,Bedollo,4,258,6,581,10,839,80,477,111,634,201,195
2019,Besenello,0,0,2,15,2,15,0,0,0,0,2,15
2019,Bieno,1,25,5,137,6,162,128,485,239,1035,373,1682
2019,Bleggio Superiore,2,27,10,121,12,148,42,168,291,1164,345,148
2019,Bocenago,1,30,1,60,2,90,77,308,283,1132,362,153
2019,Bondone,1,19,2,248,3,267,8,30,86,333,97,630
2019,Borgo Chiese,4,126,5,76,9,202,46,256,192,897,247,1355
2019,Borgo Lares,1,25,1,82,2,107,44,169,35,122,81,398
2019,Borgo Valsugana,1,19,16,519,17,538,5,35,200,998,222,1571
2019,Brentonico,10,733,16,1752,26,2485,476,2108,922,3867,1424,846
2019,Bresimo,0,0,2,26,2,26,9,31,13,61,24,118
2019,Brez,1,25,9,104,10,129,13,52,55,220,78,401
2019,Caderzone Terme,4,188,7,196,11,384,142,822,440,2178,593,3384
2019,Cagnò,1,34,3,31,4,65,2,8,3,10,9,83
2019,Calceranica al Lago,4,125,13,3675,17,38,137,562,152,663,306,5025
2019,Caldes,2,63,7,116,9,179,29,109,74,261,112,549
2019,Caldonazzo,6,252,8,1516,14,1768,140,533,203,591,357,2892
2019,Calliano,1,83,1,22,2,105,0,0,20,49,22,154
2019,Campitello di Fassa0Ciampedel,36,2335,28,115,64,3485,254,113,430,1952,748,6567
2019,Campodenno,0,0,5,47,5,47,0,0,46,154,51,201
2019,Canal San Bovo,5,141,5,74,10,215,200,803,544,232,754,3338
2019,Canazei0Ćianacëi,84,4683,76,2412,160,7095,478,2176,943,4243,1581,13514
