,comune,anno,valore,lat,lon
0,ALA,2022,0.09578456993523463,NaN,NaN
1,ALA,2023,0.10100781338466765,NaN,NaN
2,ALBIANO,2022,0.002677376171352075,NaN,NaN
3,ALBIANO,2023,0.00398406374501992,NaN,NaN
4,ALDENO,2022,0.00219573400250941,NaN,NaN
5,ALDENO,2023,0.0015494267121165168,NaN,NaN
6,ALTAVALLE,2022,0.11356660527931246,NaN,NaN
7,ALTAVALLE,2023,0.12477064220183487,NaN,NaN
8,ALTOPIANO DELLA VIGOLANA,2022,0.14280155642023346,NaN,NaN
9,ALTOPIANO DELLA VIGOLANA,2023,0.13942589338019917,NaN,NaN
10,AMBLAR-DON,2022,0.43144424131627057,NaN,NaN
11,AMBLAR-DON,2023,0.42173112338858193,NaN,NaN
12,ANDALO,2022,5.8262008733624455,46.1661363,11.003402
13,ANDALO,2023,5.957968476357268,46.1661363,11.003402
14,ARCO,2022,0.4658866090102312,NaN,NaN
15,ARCO,2023,0.5051523171349738,NaN,NaN
16,AVIO,2022,0.05331061343719572,NaN,NaN
17,AVIO,2023,0.05437698122409169,NaN,NaN
18,BASELGA DI PINÈ,2022,0.477638289525304,NaN,NaN
19,BASELGA DI PINÈ,2023,0.4852855193919314,NaN,NaN
20,BEDOLLO,2022,0.6970108695652174,NaN,NaN
21,BEDOLLO,2023,0.7015530047265361,NaN,NaN
22,BESENELLO,2022,0.01815541031227306,NaN,NaN
23,BESENELLO,2023,0.02012217031979878,NaN,NaN
24,BIENO,2022,0.24444444444444444,NaN,NaN
25,BIENO,2023,0.10085836909871244,NaN,NaN
26,BLEGGIO SUPERIORE,2022,0.13624511082138202,NaN,NaN
27,BLEGGIO SUPERIORE,2023,0.2026315789473684,NaN,NaN
28,BOCENAGO,2022,0.37,NaN,NaN
29,BOCENAGO,2023,0.4177215189873418,NaN,NaN
30,BONDONE,2022,0.4510108864696734,NaN,NaN
31,BONDONE,2023,0.44305772230889234,NaN,NaN
32,BORGO CHIESE,2022,0.09570112589559877,NaN,NaN
33,BORGO CHIESE,2023,0.09679089026915114,NaN,NaN
