,comune,anno,valore,lat,lon
0,ALA,2023,0.04551339226851859,NaN,NaN
1,ALBIANO,2023,0.020218668704178717,NaN,NaN
2,ALTAVALLE,2023,0.036859788027313475,NaN,NaN
3,ALTOPIANO DELLA VIGOLANA,2023,0.0720985038773998,NaN,NaN
4,ANDALO,2023,2.4467048916824603,46.1661363,11.003402
5,ARCO,2023,0.22423606166890492,NaN,NaN
6,AVIO,2023,0.045026104558527326,NaN,NaN
7,BEDOLLO,2023,0.11951014216606698,NaN,NaN
8,BIENO,2023,0.2050267505438297,NaN,NaN
9,BOCENAGO,2023,0.18238252124154672,NaN,NaN
10,BORGO LARES,2023,0.052890123575055084,NaN,NaN
11,BORGO VALSUGANA,2023,0.0623220492449689,NaN,NaN
12,BRENTONICO,2023,0.19984476901831524,NaN,NaN
13,BRESIMO,2023,0.01990720282810429,NaN,NaN
14,CALCERANICA AL LAGO,2023,0.5184268669907203,NaN,NaN
15,CALDONAZZO,2023,0.07466891766461299,NaN,NaN
16,CAMPITELLO DI FASSA,2023,2.156365039552383,NaN,NaN
17,CANAL SAN BOVO,2023,0.27274464158188105,NaN,NaN
18,CANAZEI,2023,2.7958634038020076,NaN,NaN
19,CAPRIANA,2023,0.0788666432502049,NaN,NaN
20,CARISOLO,2023,0.8540192363742349,NaN,NaN
21,CASTELLO TESINO,2023,0.33547448363971893,NaN,NaN
22,CASTELLO-MOLINA DI FIEMME,2023,0.15450913242009132,NaN,NaN
23,CASTELNUOVO,2023,0.026109011463656566,NaN,NaN
24,CAVALESE,2023,0.507575736964536,NaN,NaN
25,CAVEDINE,2023,0.03438693744114563,NaN,NaN
26,CINTE TESINO,2023,0.2473442573998731,NaN,NaN
27,CIS,2023,0.1671689497716895,NaN,NaN
28,CIVEZZANO,2023,0.016105684632700085,NaN,NaN
29,COMANO TERME,2023,0.17033409359098137,NaN,NaN
30,COMMEZZADURA,2023,0.680431303404313,NaN,NaN
31,DENNO,2023,0.050929786248428296,NaN,NaN
32,DIMARO FOLGARIDA,2023,1.1731968497740939,NaN,NaN
33,DRENA,2023,0.03952769706194364,NaN,NaN
34,DRO,2023,0.08595352435327158,NaN,NaN
35,FAI DELLA PAGANELLA,2023,0.6464670413300551,46.1793313,11.0689304
36,FOLGARIA,2023,0.8693431415871696,NaN,NaN
37,FORNACE,2023,0.006267226130239828,NaN,NaN
38,GARNIGA TERME,2023,0.030037359900373598,NaN,NaN
39,GIOVO,2023,0.012136619277394562,NaN,NaN
40,GIUSTINO,2023,0.7651880549428143,NaN,NaN
41,GRIGNO,2023,0.0664666146351966,NaN,NaN
42,IMER,2023,0.08567597248713947,NaN,NaN
43,LAVARONE,2023,0.9295314838264073,NaN,NaN
44,LAVIS,2023,0.08152678138180733,NaN,NaN
45,LEDRO,2023,0.36689694905837994,NaN,NaN
46,LONA-LASES,2023,0.010905059783039036,NaN,NaN
47,LUSERNA,2023,0.2153917192550408,NaN,NaN
48,MADRUZZO,2023,0.03587776038708903,NaN,NaN
49,MAZZIN,2023,1.4126729654184667,NaN,NaN
50,MEZZANA,2023,1.888910038381128,NaN,NaN
51,MEZZANO,2023,0.16183582399335825,NaN,NaN
52,MEZZOCORONA,2023,0.042375696688914014,NaN,NaN
53,MEZZOLOMBARDO,2023,0.036041373970603474,NaN,NaN
54,MOENA,2023,1.0060136932770185,NaN,NaN
55,MOLVENO,2023,1.338057937657002,46.1421057,10.9637773
56,MORI,2023,0.030445124390481235,NaN,NaN
57,NAGO-TORBOLE,2023,0.9582978889834072,NaN,NaN
58,NOMI,2023,0.0042487729836642,NaN,NaN
59,NOVALEDO,2023,0.03467397260273973,NaN,NaN
60,OSPEDALETTO,2023,0.026822468506918152,NaN,NaN
61,PEIO,2023,0.6782817595095906,NaN,NaN
62,PIEVE TESINO,2023,0.36108574327752413,NaN,NaN
63,PINZOLO,2023,2.2231098546405628,NaN,NaN
64,PORTE DI RENDENA,2023,0.11113898722487302,NaN,NaN
65,PREDAIA,2023,0.11676085350693338,NaN,NaN
66,PREDAZZO,2023,0.4532398202700813,NaN,NaN
67,PRIMIERO SAN MARTINO DI CASTROZZA,2023,0.8114852606800955,NaN,NaN
68,RABBI,2023,0.3077066167921953,NaN,NaN
69,RIVA DEL GARDA,2023,0.4281382417594238,NaN,NaN
70,RONCEGNO TERME,2023,0.052322973705357975,NaN,NaN
71,RONZO-CHIENIS,2023,0.04421720152634035,NaN,NaN
72,ROVERETO,2023,0.07554340553119679,NaN,NaN
73,RUMO,2023,0.1334125958473335,NaN,NaN
74,SAGRON MIS,2023,0.38819810326659643,NaN,NaN
75,SAMONE,2023,0.020992836496166897,NaN,NaN
76,SAN LORENZO DORSINO,2023,0.18843825192623415,NaN,NaN
77,SAN MICHELE ALL'ADIGE,2023,0.05370228220327807,NaN,NaN
78,SELLA GIUDICARIE,2023,0.09954809615457186,NaN,NaN
79,SPIAZZO,2023,0.4688275266961493,NaN,NaN
80,STENICO,2023,0.1074723018654207,NaN,NaN
81,STORO,2023,0.08331481892912686,NaN,NaN
82,TELVE,2023,0.05774963384164728,NaN,NaN
83,TENNO,2023,0.12101753451959239,NaN,NaN
84,TERRAGNOLO,2023,0.037397839905713236,NaN,NaN
85,TERRE D'ADIGE,2023,0.02291423544408338,NaN,NaN
86,TESERO,2023,0.41679767963864434,NaN,NaN
87,TIONE DI TRENTO,2023,0.14411570549996455,NaN,NaN
88,TON,2023,0.00622199462296761,NaN,NaN
89,TRAMBILENO,2023,0.02053587183654516,NaN,NaN
90,TRENTO,2023,0.10421588699200542,NaN,NaN
91,TRE VILLE,2023,0.526352551558031,NaN,NaN
92,VALDAONE,2023,0.053293854642313544,NaN,NaN
93,VALFLORIANA,2023,0.1600393871817892,NaN,NaN
94,VALLARSA,2023,0.07584891187837425,NaN,NaN
