,comune,anno,valore,lat,lon
0,ALA,2023,0.0592575335396359,NaN,NaN
1,ALBIANO,2023,0.024007793960768947,NaN,NaN
2,ALTAVALLE,2023,0.06990023562440467,NaN,NaN
3,ALTOPIANO DELLA VIGOLANA,2023,0.12895630656153864,NaN,NaN
4,ANDALO,2023,3.1044113002784877,46.1661363,11.003402
5,ARCO,2023,0.3738446172294076,NaN,NaN
6,AVIO,2023,0.07710834222760542,NaN,NaN
7,BEDOLLO,2023,0.23200429483844542,NaN,NaN
8,BIENO,2023,0.46378315626539085,NaN,NaN
9,BOCENAGO,2023,0.30680639136750365,NaN,NaN
10,BORGO LARES,2023,0.09867018227673965,NaN,NaN
11,BORGO VALSUGANA,2023,0.08626655947429131,NaN,NaN
12,BRENTONICO,2023,0.3028122574860171,NaN,NaN
13,BRESIMO,2023,0.031861448968799576,NaN,NaN
14,CALCERANICA AL LAGO,2023,1.3871966625536165,NaN,NaN
15,CALDONAZZO,2023,0.12472178093733104,NaN,NaN
16,CAMPITELLO DI FASSA,2023,3.4845878549988454,NaN,NaN
17,CANAL SAN BOVO,2023,0.5212937167719236,NaN,NaN
18,CANAZEI,2023,3.2140215107823242,NaN,NaN
19,CAPRIANA,2023,0.15924057727336416,NaN,NaN
20,CARISOLO,2023,1.32113707708406,NaN,NaN
21,CASTELLO TESINO,2023,0.6820974546278207,NaN,NaN
22,CASTELLO-MOLINA DI FIEMME,2023,0.21578077952492472,NaN,NaN
23,CASTELNUOVO,2023,0.03446229207675317,NaN,NaN
24,CAVALESE,2023,0.6752323896657821,NaN,NaN
25,CAVEDINE,2023,0.05964417086602453,NaN,NaN
26,CINTE TESINO,2023,0.4840309107964444,NaN,NaN
27,CIS,2023,0.3191530054644809,NaN,NaN
28,CIVEZZANO,2023,0.021302337039008922,NaN,NaN
29,COMANO TERME,2023,0.3171352500879117,NaN,NaN
30,COMMEZZADURA,2023,0.5799788995292972,NaN,NaN
31,DENNO,2023,0.08989994984292918,NaN,NaN
32,DIMARO FOLGARIDA,2023,1.091462696874338,NaN,NaN
33,DRENA,2023,0.03723022575481592,NaN,NaN
34,DRO,2023,0.1285511247877067,NaN,NaN
35,FAI DELLA PAGANELLA,2023,0.8845453271682779,46.1793313,11.0689304
36,FOLGARIA,2023,1.0819594363393163,NaN,NaN
37,FORNACE,2023,0.008436715403928518,NaN,NaN
38,GARNIGA TERME,2023,0.0626357249308069,NaN,NaN
39,GIOVO,2023,0.023198206926843132,NaN,NaN
40,GIUSTINO,2023,0.5853945296035848,NaN,NaN
41,GRIGNO,2023,0.11730248961319205,NaN,NaN
42,IMER,2023,0.17152244587397109,NaN,NaN
43,LAVARONE,2023,1.7177985948477752,NaN,NaN
44,LAVIS,2023,0.07331844373967034,NaN,NaN
45,LEDRO,2023,0.8120463793453704,NaN,NaN
46,LONA-LASES,2023,0.022505448687576993,NaN,NaN
47,LUSERNA,2023,0.46055135998035246,NaN,NaN
48,MADRUZZO,2023,0.0609270279080818,NaN,NaN
49,MAZZIN,2023,2.0197799463688386,NaN,NaN
