,comune,anno,valore,lat,lon
0,ALA,2023,0.046506849366432665,NaN,NaN
1,ALBIANO,2023,0.03778264425740746,NaN,NaN
2,ALTAVALLE,2023,0.0424489134617332,NaN,NaN
3,ALTOPIANO DELLA VIGOLANA,2023,0.05136103642836729,NaN,NaN
4,ANDALO,2023,3.469462195984737,46.1661363,11.003402
5,ARCO,2023,0.13898036589226842,NaN,NaN
6,AVIO,2023,0.042543330571932866,NaN,NaN
7,BEDOLLO,2023,0.06642638990122121,NaN,NaN
8,BIENO,2023,0.11138902310775091,NaN,NaN
9,BOCENAGO,2023,0.14247631821611198,NaN,NaN
10,BORGO LARES,2023,0.03821608854721438,NaN,NaN
11,BORGO VALSUGANA,2023,0.07130948850826285,NaN,NaN
12,BRENTONICO,2023,0.2522777590976354,NaN,NaN
13,BRESIMO,2023,0.006756035035248878,NaN,NaN
14,CALCERANICA AL LAGO,2023,0.06293052291770515,NaN,NaN
15,CALDONAZZO,2023,0.061627842001080325,NaN,NaN
16,CAMPITELLO DI FASSA,2023,1.6809346143083668,NaN,NaN
17,CANAL SAN BOVO,2023,0.164567518730916,NaN,NaN
18,CANAZEI,2023,4.263453573475116,NaN,NaN
19,CAPRIANA,2023,0.06723269372275995,NaN,NaN
20,CARISOLO,2023,0.9119557559532196,NaN,NaN
21,CASTELLO TESINO,2023,0.20584131123540242,NaN,NaN
22,CASTELLO-MOLINA DI FIEMME,2023,0.16638228138937694,NaN,NaN
23,CASTELNUOVO,2023,0.04775374679041647,NaN,NaN
24,CAVALESE,2023,0.6465338655898775,NaN,NaN
25,CAVEDINE,2023,0.03789909037029402,NaN,NaN
26,CINTE TESINO,2023,0.1232112889546529,NaN,NaN
27,CIS,2023,0.07090507726269316,NaN,NaN
28,CIVEZZANO,2023,0.01848237473235467,NaN,NaN
29,COMANO TERME,2023,0.09221014370207017,NaN,NaN
30,COMMEZZADURA,2023,1.1688872860796014,NaN,NaN
31,DENNO,2023,0.04590438408463171,NaN,NaN
32,DIMARO FOLGARIDA,2023,1.9097226405105265,NaN,NaN
33,DRENA,2023,0.07243516846165853,NaN,NaN
34,DRO,2023,0.07334414040946616,NaN,NaN
35,FAI DELLA PAGANELLA,2023,0.8120648667006284,46.1793313,11.0689304
36,FOLGARIA,2023,1.225113202726081,NaN,NaN
37,FORNACE,2023,0.011798222063122725,NaN,NaN
38,GARNIGA TERME,2023,0.038926636277629656,NaN,NaN
39,GIOVO,2023,0.015335118125029357,NaN,NaN
40,GIUSTINO,2023,1.7243814354461462,NaN,NaN
41,GRIGNO,2023,0.06538271380059589,NaN,NaN
42,IMER,2023,0.048173917903149184,NaN,NaN
43,LAVARONE,2023,0.7689743447047693,NaN,NaN
44,LAVIS,2023,0.09570276269014924,NaN,NaN
45,LEDRO,2023,0.13070952692402385,NaN,NaN
46,LONA-LASES,2023,0.012877540864372391,NaN,NaN
47,LUSERNA,2023,0.15102810228935684,NaN,NaN
48,MADRUZZO,2023,0.028907385210829056,NaN,NaN
49,MAZZIN,2023,1.7457087656209866,NaN,NaN
50,MEZZANA,2023,3.3898686056510132,NaN,NaN
51,MEZZANO,2023,0.09793297210515753,NaN,NaN
52,MEZZOCORONA,2023,0.050146575786454074,NaN,NaN
53,MEZZOLOMBARDO,2023,0.045934976851506076,NaN,NaN
54,MOENA,2023,1.314156761359078,NaN,NaN
55,MOLVENO,2023,0.9048499315015225,46.1421057,10.9637773
56,MORI,2023,0.030307683060052163,NaN,NaN
57,NAGO-TORBOLE,2023,0.437225538995325,NaN,NaN
58,NOMI,2023,0.017939987554323356,NaN,NaN
59,NOVALEDO,2023,0.029810154525386313,NaN,NaN
60,OSPEDALETTO,2023,0.03257179939432261,NaN,NaN
61,PEIO,2023,0.8315463339510465,NaN,NaN
62,PIEVE TESINO,2023,0.19647821110293517,NaN,NaN
63,PINZOLO,2023,3.3694854981468705,NaN,NaN
64,PORTE DI RENDENA,2023,0.09483592529206042,NaN,NaN
65,PREDAIA,2023,0.08737599112739562,NaN,NaN
66,PREDAZZO,2023,0.5070428538255101,NaN,NaN
67,PRIMIERO SAN MARTINO DI CASTROZZA,2023,0.88135271391426,NaN,NaN
68,RABBI,2023,0.1764424134307568,NaN,NaN
69,RIVA DEL GARDA,2023,0.24048995256258962,NaN,NaN
70,RONCEGNO TERME,2023,0.04513339898629419,NaN,NaN
71,RONZO-CHIENIS,2023,0.059483204820236495,NaN,NaN
72,ROVERETO,2023,0.08713232525278598,NaN,NaN
73,RUMO,2023,0.13158398933733184,NaN,NaN
74,SAGRON MIS,2023,0.09329743104577543,NaN,NaN
75,SAMONE,2023,0.026660185916519835,NaN,NaN
76,SAN LORENZO DORSINO,2023,0.11849559268793543,NaN,NaN
77,SAN MICHELE ALL'ADIGE,2023,0.06907296211711278,NaN,NaN
78,SELLA GIUDICARIE,2023,0.06695719993432214,NaN,NaN
79,SPIAZZO,2023,0.3160296188142045,NaN,NaN
80,STENICO,2023,0.11764806543799307,NaN,NaN
81,STORO,2023,0.04182146425150555,NaN,NaN
82,TELVE,2023,0.047586321795993175,NaN,NaN
83,TENNO,2023,0.07557324199738004,NaN,NaN
84,TERRAGNOLO,2023,0.060060340559878196,NaN,NaN
85,TERRE D'ADIGE,2023,0.020164825149939676,NaN,NaN
86,TESERO,2023,0.5779206280449956,NaN,NaN
87,TIONE DI TRENTO,2023,0.11754290752457075,NaN,NaN
88,TON,2023,0.015272018320232717,NaN,NaN
89,TRAMBILENO,2023,0.018870804804130656,NaN,NaN
90,TRENTO,2023,0.11391258157203875,NaN,NaN
91,TRE VILLE,2023,0.6045605608519516,NaN,NaN
92,VALDAONE,2023,0.03111777961736571,NaN,NaN
93,VALFLORIANA,2023,0.1791579743219971,NaN,NaN
94,VALLARSA,2023,0.04477448738489039,NaN,NaN
95,VALLELAGHI,2023,0.044120846613355726,NaN,NaN
96,VERMIGLIO,2023,2.478279189785812,NaN,NaN
97,VILLE DI FIEMME,2023,0.5776342286922284,NaN,NaN
98,ZIANO DI FIEMME,2023,0.3962843045980694,NaN,NaN
