comune,anno,genere,popolazione
Provincia Autonoma Trento  ,2022,Maschi  ,266340
Provincia Autonoma Trento  ,2022,Femmine  ,274618
Provincia Autonoma Trento  ,2022,Totale  ,540958
Provincia Autonoma Trento  ,2023,Maschi  ,267681
Provincia Autonoma Trento  ,2023,Femmine  ,275315
Provincia Autonoma Trento  ,2023,Totale  ,542996
Provincia Autonoma Trento  ,2024,Maschi  ,269224
Provincia Autonoma Trento  ,2024,Femmine  ,275959
Provincia Autonoma Trento  ,2024,Totale  ,545183
Ala  ,2022,Maschi  ,4427
Ala  ,2022,Femmine  ,4374
Ala  ,2022,Totale  ,8801
Ala  ,2023,Maschi  ,4442
Ala  ,2023,Femmine  ,4389
Ala  ,2023,Totale  ,8831
Ala  ,2024,Maschi  ,4420
Ala  ,2024,Femmine  ,4374
Ala  ,2024,Totale  ,8794
Albiano  ,2022,Maschi  ,772
Albiano  ,2022,Femmine  ,722
Albiano  ,2022,Totale  ,1494
Albiano  ,2023,Maschi  ,778
Albiano  ,2023,Femmine  ,728
Albiano  ,2023,Totale  ,1506
Albiano  ,2024,Maschi  ,785
Albiano  ,2024,Femmine  ,738
Albiano  ,2024,Totale  ,1523
Aldeno  ,2022,Maschi  ,1564
Aldeno  ,2022,Femmine  ,1624
Aldeno  ,2022,Totale  ,3188
Aldeno  ,2023,Maschi  ,1588
Aldeno  ,2023,Femmine  ,1639
Aldeno  ,2023,Totale  ,3227
Aldeno  ,2024,Maschi  ,1620
Aldeno  ,2024,Femmine  ,1654
Aldeno  ,2024,Totale  ,3274
Altavalle  ,2022,Maschi  ,813
Altavalle  ,2022,Femmine  ,816
Altavalle  ,2022,Totale  ,1629
Altavalle  ,2023,Maschi  ,814
Altavalle  ,2023,Femmine  ,821
Altavalle  ,2023,Totale  ,1635
Altavalle  ,2024,Maschi  ,812
Altavalle  ,2024,Femmine  ,820
Altavalle  ,2024,Totale  ,1632
Altopiano della Vigolana  ,2022,Maschi  ,2570
Altopiano della Vigolana  ,2022,Femmine  ,2570
Altopiano della Vigolana  ,2022,Totale  ,5140
Altopiano della Vigolana  ,2023,Maschi  ,2561
Altopiano della Vigolana  ,2023,Femmine  ,2560
Altopiano della Vigolana  ,2023,Totale  ,5121
Altopiano della Vigolana  ,2024,Maschi  ,2558
Altopiano della Vigolana  ,2024,Femmine  ,2558
Altopiano della Vigolana  ,2024,Totale  ,5116
Amblar-Don  ,2022,Maschi  ,274
Amblar-Don  ,2022,Femmine  ,273
Amblar-Don  ,2022,Totale  ,547
Amblar-Don  ,2023,Maschi  ,273
Amblar-Don  ,2023,Femmine  ,270
Amblar-Don  ,2023,Totale  ,543
Amblar-Don  ,2024,Maschi  ,279
Amblar-Don  ,2024,Femmine  ,273
Amblar-Don  ,2024,Totale  ,552
Andalo  ,2022,Maschi  ,562
Andalo  ,2022,Femmine  ,583
Andalo  ,2022,Totale  ,1145
Andalo  ,2023,Maschi  ,563
Andalo  ,2023,Femmine  ,579
Andalo  ,2023,Totale  ,1142
Andalo  ,2024,Maschi  ,564
Andalo  ,2024,Femmine  ,579
Andalo  ,2024,Totale  ,1143
Arco  ,2022,Maschi  ,8634
Arco  ,2022,Femmine  ,9057
Arco  ,2022,Totale  ,17691
Arco  ,2023,Maschi  ,8724
Arco  ,2023,Femmine  ,9035
Arco  ,2023,Totale  ,17759
Arco  ,2024,Maschi  ,8738
Arco  ,2024,Femmine  ,9025
Arco  ,2024,Totale  ,17763
Avio  ,2022,Maschi  ,2044
Avio  ,2022,Femmine  ,2064
Avio  ,2022,Totale  ,4108
Avio  ,2023,Maschi  ,2045
Avio  ,2023,Femmine  ,2056
Avio  ,2023,Totale  ,4101
Avio  ,2024,Maschi  ,2069
Avio  ,2024,Femmine  ,2065
Avio  ,2024,Totale  ,4134
Baselga di Pinè  ,2022,Maschi  ,2582
Baselga di Pinè  ,2022,Femmine  ,2516
Baselga di Pinè  ,2022,Totale  ,5098
Baselga di Pinè  ,2023,Maschi  ,2588
Baselga di Pinè  ,2023,Femmine  ,2543
Baselga di Pinè  ,2023,Totale  ,5131
Baselga di Pinè  ,2024,Maschi  ,2621
Baselga di Pinè  ,2024,Femmine  ,2588
Baselga di Pinè  ,2024,Totale  ,5209
Bedollo  ,2022,Maschi  ,743
Bedollo  ,2022,Femmine  ,729
Bedollo  ,2022,Totale  ,1472
Bedollo  ,2023,Maschi  ,746
Bedollo  ,2023,Femmine  ,735
Bedollo  ,2023,Totale  ,1481
Bedollo  ,2024,Maschi  ,755
Bedollo  ,2024,Femmine  ,736
Bedollo  ,2024,Totale  ,1491
Besenello  ,2022,Maschi  ,1385
Besenello  ,2022,Femmine  ,1369
Besenello  ,2022,Totale  ,2754
Besenello  ,2023,Maschi  ,1402
Besenello  ,2023,Femmine  ,1381
Besenello  ,2023,Totale  ,2783
Besenello  ,2024,Maschi  ,1418
Besenello  ,2024,Femmine  ,1382
Besenello  ,2024,Totale  ,2800
Bieno  ,2022,Maschi  ,216
Bieno  ,2022,Femmine  ,234
Bieno  ,2022,Totale  ,450
Bieno  ,2023,Maschi  ,227
Bieno  ,2023,Femmine  ,239
Bieno  ,2023,Totale  ,466
Bieno  ,2024,Maschi  ,225
Bieno  ,2024,Femmine  ,240
Bieno  ,2024,Totale  ,465
Bleggio Superiore  ,2022,Maschi  ,784
Bleggio Superiore  ,2022,Femmine  ,750
Bleggio Superiore  ,2022,Totale  ,1534
Bleggio Superiore  ,2023,Maschi  ,779
Bleggio Superiore  ,2023,Femmine  ,741
Bleggio Superiore  ,2023,Totale  ,1520
Bleggio Superiore  ,2024,Maschi  ,771
Bleggio Superiore  ,2024,Femmine  ,738
Bleggio Superiore  ,2024,Totale  ,1509
Bocenago  ,2022,Maschi  ,198
Bocenago  ,2022,Femmine  ,202
Bocenago  ,2022,Totale  ,400
Bocenago  ,2023,Maschi  ,198
Bocenago  ,2023,Femmine  ,197
Bocenago  ,2023,Totale  ,395
Bocenago  ,2024,Maschi  ,202
Bocenago  ,2024,Femmine  ,196
Bocenago  ,2024,Totale  ,398
Bondone  ,2022,Maschi  ,328
Bondone  ,2022,Femmine  ,315
Bondone  ,2022,Totale  ,643
Bondone  ,2023,Maschi  ,323
Bondone  ,2023,Femmine  ,318
Bondone  ,2023,Totale  ,641
Bondone  ,2024,Maschi  ,326
Bondone  ,2024,Femmine  ,318
Bondone  ,2024,Totale  ,644
Borgo Chiese  ,2022,Maschi  ,990
Borgo Chiese  ,2022,Femmine  ,964
Borgo Chiese  ,2022,Totale  ,1954
Borgo Chiese  ,2023,Maschi  ,981
Borgo Chiese  ,2023,Femmine  ,951
Borgo Chiese  ,2023,Totale  ,1932
Borgo Chiese  ,2024,Maschi  ,984
Borgo Chiese  ,2024,Femmine  ,950
Borgo Chiese  ,2024,Totale  ,1934
Borgo d'Anaunia  ,2022,Maschi  ,1248
Borgo d'Anaunia  ,2022,Femmine  ,1256
Borgo d'Anaunia  ,2022,Totale  ,2504
Borgo d'Anaunia  ,2023,Maschi  ,1280
Borgo d'Anaunia  ,2023,Femmine  ,1235
Borgo d'Anaunia  ,2023,Totale  ,2515
Borgo d'Anaunia  ,2024,Maschi  ,1292
Borgo d'Anaunia  ,2024,Femmine  ,1261
Borgo d'Anaunia  ,2024,Totale  ,2553
Borgo Lares  ,2022,Maschi  ,378
Borgo Lares  ,2022,Femmine  ,342
Borgo Lares  ,2022,Totale  ,720
Borgo Lares  ,2023,Maschi  ,374
Borgo Lares  ,2023,Femmine  ,341
Borgo Lares  ,2023,Totale  ,715
Borgo Lares  ,2024,Maschi  ,378
Borgo Lares  ,2024,Femmine  ,350
Borgo Lares  ,2024,Totale  ,728
Borgo Valsugana  ,2022,Maschi  ,3425
Borgo Valsugana  ,2022,Femmine  ,3553
Borgo Valsugana  ,2022,Totale  ,6978
Borgo Valsugana  ,2023,Maschi  ,3447
Borgo Valsugana  ,2023,Femmine  ,3588
Borgo Valsugana  ,2023,Totale  ,7035
Borgo Valsugana  ,2024,Maschi  ,3492
Borgo Valsugana  ,2024,Femmine  ,3589
Borgo Valsugana  ,2024,Totale  ,7081
Brentonico  ,2022,Maschi  ,2012
Brentonico  ,2022,Femmine  ,2030
Brentonico  ,2022,Totale  ,4042
Brentonico  ,2023,Maschi  ,2043
Brentonico  ,2023,Femmine  ,2034
Brentonico  ,2023,Totale  ,4077
Brentonico  ,2024,Maschi  ,2071
Brentonico  ,2024,Femmine  ,2053
Brentonico  ,2024,Totale  ,4124
Bresimo  ,2022,Maschi  ,126
Bresimo  ,2022,Femmine  ,124
Bresimo  ,2022,Totale  ,250
Bresimo  ,2023,Maschi  ,125
Bresimo  ,2023,Femmine  ,123
Bresimo  ,2023,Totale  ,248
Bresimo  ,2024,Maschi  ,124
Bresimo  ,2024,Femmine  ,120
Bresimo  ,2024,Totale  ,244
Caderzone Terme  ,2022,Maschi  ,353
Caderzone Terme  ,2022,Femmine  ,347
Caderzone Terme  ,2022,Totale  ,700
Caderzone Terme  ,2023,Maschi  ,353
Caderzone Terme  ,2023,Femmine  ,338
Caderzone Terme  ,2023,Totale  ,691
Caderzone Terme  ,2024,Maschi  ,359
Caderzone Terme  ,2024,Femmine  ,337
Caderzone Terme  ,2024,Totale  ,696
Calceranica al Lago  ,2022,Maschi  ,688
Calceranica al Lago  ,2022,Femmine  ,698
Calceranica al Lago  ,2022,Totale  ,1386
Calceranica al Lago  ,2023,Maschi  ,696
Calceranica al Lago  ,2023,Femmine  ,699
Calceranica al Lago  ,2023,Totale  ,1395
Calceranica al Lago  ,2024,Maschi  ,692
Calceranica al Lago  ,2024,Femmine  ,703
Calceranica al Lago  ,2024,Totale  ,1395
Caldes  ,2022,Maschi  ,539
Caldes  ,2022,Femmine  ,548
Caldes  ,2022,Totale  ,1087
Caldes  ,2023,Maschi  ,550
Caldes  ,2023,Femmine  ,553
Caldes  ,2023,Totale  ,1103
Caldes  ,2024,Maschi  ,550
Caldes  ,2024,Femmine  ,556
Caldes  ,2024,Totale  ,1106
Caldonazzo  ,2022,Maschi  ,1906
Caldonazzo  ,2022,Femmine  ,1994
Caldonazzo  ,2022,Totale  ,3900
Caldonazzo  ,2023,Maschi  ,1916
Caldonazzo  ,2023,Femmine  ,1995
Caldonazzo  ,2023,Totale  ,3911
Caldonazzo  ,2024,Maschi  ,1934
Caldonazzo  ,2024,Femmine  ,2028
Caldonazzo  ,2024,Totale  ,3962
Calliano  ,2022,Maschi  ,1022
Calliano  ,2022,Femmine  ,998
Calliano  ,2022,Totale  ,2020
Calliano  ,2023,Maschi  ,1036
Calliano  ,2023,Femmine  ,1014
Calliano  ,2023,Totale  ,2050
Calliano  ,2024,Maschi  ,1042
Calliano  ,2024,Femmine  ,996
Calliano  ,2024,Totale  ,2038
Campitello di Fassa  ,2022,Maschi  ,346
Campitello di Fassa  ,2022,Femmine  ,361
Campitello di Fassa  ,2022,Totale  ,707
Campitello di Fassa  ,2023,Maschi  ,350
Campitello di Fassa  ,2023,Femmine  ,360
Campitello di Fassa  ,2023,Totale  ,710
Campitello di Fassa  ,2024,Maschi  ,343
Campitello di Fassa  ,2024,Femmine  ,357
Campitello di Fassa  ,2024,Totale  ,700
Campodenno  ,2022,Maschi  ,779
Campodenno  ,2022,Femmine  ,733
Campodenno  ,2022,Totale  ,1512
Campodenno  ,2023,Maschi  ,785
Campodenno  ,2023,Femmine  ,718
Campodenno  ,2023,Totale  ,1503
Campodenno  ,2024,Maschi  ,787
Campodenno  ,2024,Femmine  ,722
Campodenno  ,2024,Totale  ,1509
Canal San Bovo  ,2022,Maschi  ,710
Canal San Bovo  ,2022,Femmine  ,762
Canal San Bovo  ,2022,Totale  ,1472
Canal San Bovo  ,2023,Maschi  ,713
